Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
45,32.3,25,34,28.8,23,100,88.0,61,8,5.8,2,29.4,29.3,29.2,0.00,2025-1-1
50,37.2,28,41,32.6,27,100,85.7,47,26,6.8,0,29.2,29.1,29.0,0.00,2025-1-2
37,32.4,25,34,29.4,23,100,89.4,75,12,4.6,0,29.3,29.2,29.2,0.00,2025-1-3
34,27.6,19,32,24.5,18,100,88.1,75,12,6.3,0,29.3,29.1,28.9,0.00,2025-1-4
45,38.3,34,43,37.4,32,100,96.5,93,9,6.5,3,28.9,28.8,28.6,0.00,2025-1-5
61,44.8,32,45,39.2,32,100,82.5,48,26,9.2,3,28.7,28.6,28.5,0.00,2025-1-6
46,42.3,36,39,35.6,32,93,78.3,66,20,9.3,0,28.9,28.8,28.7,0.00,2025-1-7
57,43.2,37,46,40.1,34,100,89.3,59,22,5.5,0,28.8,28.7,28.6,0.00,2025-1-8
57,48.3,36,46,40.5,32,87,74.8,59,28,14.9,3,29.1,28.8,28.6,0.00,2025-1-9
39,35.6,30,32,30.4,28,100,82.7,65,14,3.7,1,29.2,29.2,29.1,0.00,2025-1-10
36,29.4,25,30,27.4,25,100,92.8,75,12,5.0,0,29.5,29.3,29.2,0.00,2025-1-11
36,29.4,23,30,26.3,23,100,89.1,69,12,4.3,0,29.7,29.6,29.5,0.00,2025-1-12
36,25.6,19,27,22.1,18,100,87.3,64,13,5.2,0,29.7,29.7,29.6,0.00,2025-1-13
36,26.6,19,27,22.8,18,100,86.8,60,7,3.3,0,29.6,29.6,29.5,0.00,2025-1-14
36,29.9,21,32,27.5,19,100,91.2,75,10,3.3,0,29.5,29.5,29.4,0.00,2025-1-15
39,34.9,32,34,32.1,30,100,90.0,70,13,6.3,3,29.6,29.5,29.5,0.00,2025-1-16
39,36.0,34,30,29.3,28,87,77.7,70,12,7.6,3,29.6,29.6,29.5,0.00,2025-1-17
39,33.9,28,30,27.9,27,93,79.8,65,16,8.8,3,29.5,29.4,29.3,0.00,2025-1-18
39,32.0,28,32,28.5,25,100,86.8,70,9,4.3,0,29.3,29.2,29.1,0.00,2025-1-19
41,31.4,27,34,28.9,27,100,90.8,65,9,4.8,0,29.2,29.1,29.1,0.00,2025-1-20
45,31.8,28,34,29.8,28,100,93.7,66,9,3.8,0,29.1,29.1,29.0,0.00,2025-1-21
41,35.1,28,36,32.7,28,100,90.5,81,14,7.8,0,29.0,28.9,28.7,0.00,2025-1-22
