Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
52,46.0,41,43,36.3,21,93,70.6,43,32,13.8,0,29.7,29.5,29.4,0.41,2025-1-1
43,39.2,35,24,18.5,15,55,43.9,34,29,20.5,15,29.9,29.9,29.8,0.00,2025-1-2
39,35.3,32,18,15.8,14,56,45.3,38,20,14.4,8,30.0,29.8,29.7,0.00,2025-1-3
34,31.6,29,15,8.9,4,50,39.1,32,31,22.2,14,29.9,29.9,29.7,0.00,2025-1-4
33,30.6,29,14,10.8,7,50,43.8,40,21,16.6,8,30.0,30.0,29.9,0.00,2025-1-5
31,29.1,23,23,17.9,10,78,63.5,51,22,8.9,0,30.0,29.8,29.6,0.00,2025-1-6
34,27.0,20,14,10.6,7,58,50.3,42,30,24.3,18,29.9,29.8,29.7,0.04,2025-1-7
30,26.7,24,10,6.8,3,49,43.2,32,29,24.0,18,30.0,29.9,29.8,0.00,2025-1-8
34,28.4,24,15,11.2,6,56,48.8,42,33,25.0,18,29.9,29.7,29.7,0.00,2025-1-9
40,34.0,29,17,15.1,14,56,46.8,36,25,13.5,5,29.9,29.9,29.7,0.00,2025-1-10
36,32.0,28,23,19.3,15,72,60.0,44,21,9.6,0,29.8,29.6,29.4,0.02,2025-1-11
42,37.0,32,22,19.8,17,61,49.9,43,14,9.0,0,30.0,29.9,29.8,0.00,2025-1-12
43,39.0,35,20,18.3,15,52,43.5,37,22,11.2,6,30.0,29.9,29.9,0.00,2025-1-13
34,30.8,26,15,8.7,4,48,40.0,32,23,17.6,10,30.0,30.0,29.9,0.00,2025-1-14
32,27.9,24,10,8.4,6,51,44.0,38,25,18.1,10,30.2,30.1,30.0,0.00,2025-1-15
31,28.3,25,18,11.8,7,66,50.7,37,15,10.6,7,30.1,29.9,29.8,0.00,2025-1-16
43,35.1,28,22,18.6,16,66,52.0,37,16,9.6,5,30.1,30.0,29.8,0.00,2025-1-17
46,41.8,36,39,33.7,18,87,74.0,48,20,8.5,0,30.1,29.9,29.7,0.00,2025-1-18
41,34.9,27,35,26.8,19,82,72.9,62,23,11.9,5,29.8,29.7,29.6,0.11,2025-1-19
28,23.0,19,16,5.7,-2,71,49.1,33,22,16.0,7,30.5,30.2,29.8,0.18,2025-1-20
20,17.0,13,-2,-4.2,-7,47,39.3,31,17,11.1,6,30.6,30.5,30.4,0.00,2025-1-21
21,17.5,13,-2,-3.5,-5,49,39.7,32,18,8.1,0,30.5,30.5,30.4,0.00,2025-1-22
29,24.2,19,9,2.7,-3,51,40.0,30,17,8.2,0,30.4,30.3,30.1,0.00,2025-1-23
34,29.2,25,10,7.9,5,51,41.2,32,16,11.6,7,30.3,30.2,30.1,0.00,2025-1-24
33,28.9,23,13,7.0,4,50,40.2,31,14,7.8,0,30.4,30.3,30.2,0.00,2025-1-25
44,37.8,32,18,15.1,9,50,40.2,28,18,11.0,0,30.2,30.1,30.1,0.00,2025-1-26
41,37.5,33,18,9.4,2,46,32.3,20,18,13.7,7,30.1,29.9,29.6,0.00,2025-1-27
42,38.0,34,18,12.3,7,46,35.2,27,29,15.5,0,29.7,29.6,29.5,0.00,2025-1-28
53,43.2,32,24,19.0,11,51,38.6,25,32,19.8,7,29.9,29.5,29.4,0.00,2025-1-29
38,32.5,26,25,9.0,4,60,38.2,29,25,13.3,7,30.3,30.2,29.9,0.00,2025-1-30
49,44.4,39,44,37.5,27,83,76.8,62,15,7.0,0,30.1,29.8,29.6,0.04,2025-1-31
48,37.5,22,43,24.3,-1,83,61.8,27,20,12.8,6,30.5,29.9,29.6,0.12,2025-2-1
32,25.5,18,26,14.4,1,82,63.8,46,14,8.1,0,30.6,30.4,30.2,0.00,2025-2-2
48,39.6,31,35,29.8,26,85,68.5,52,12,5.8,0,30.2,30.0,29.8,0.10,2025-2-3
49,41.5,32,36,22.9,11,66,48.8,32,29,16.8,6,30.3,30.0,29.7,0.00,2025-2-4
37,31.5,28,12,8.6,5,47,39.1,27,18,10.9,3,30.4,30.4,30.3,0.00,2025-2-5
40,34.6,28,34,27.5,8,86,76.1,37,15,8.4,0,30.3,30.0,29.8,0.10,2025-2-6
43,38.0,30,34,20.1,5,86,52.3,30,24,15.0,7,30.2,29.9,29.7,0.22,2025-2-7
35,30.8,27,26,14.2,5,82,52.7,33,14,8.3,0,30.3,30.1,29.9,0.00,2025-2-8
36,33.5,31,29,24.4,19,85,70.3,50,18,9.8,3,30.3,30.0,29.8,0.63,2025-2-9
38,34.4,31,18,13.5,9,50,42.8,33,17,11.6,7,30.4,30.3,30.3,0.00,2025-2-10
36,32.1,28,27,16.2,7,82,53.8,35,12,5.0,0,30.4,30.3,30.2,0.00,2025-2-11
36,33.5,30,29,25.7,21,86,73.7,57,17,10.8,6,30.3,30.2,30.1,0.17,2025-2-12
47,39.0,35,39,31.7,15,93,77.0,42,28,12.7,0,30.1,29.9,29.7,0.21,2025-2-13
37,33.0,31,15,8.4,4,46,36.0,27,28,17.0,10,30.6,30.4,30.2,0.02,2025-2-14
36,32.6,29,30,19.3,5,85,60.9,35,17,9.3,6,30.6,30.3,29.9,0.00,2025-2-15
49,38.6,34,45,33.1,20,93,81.4,48,29,15.4,0,29.9,29.3,29.0,0.58,2025-2-16
36,32.5,27,15,7.1,3,44,35.0,26,37,25.1,15,30.0,29.8,29.5,0.58,2025-2-17
28,24.0,20,7,-1.1,-5,44,34.0,25,24,19.5,12,30.3,30.1,30.0,0.00,2025-2-18
30,24.2,19,9,4.2,-4,49,42.7,33,17,14.8,12,30.3,30.2,30.1,0.00,2025-2-19
29,24.1,19,16,10.0,6,71,55.8,41,23,13.6,7,30.1,29.9,29.9,0.00,2025-2-20
35,27.6,23,11,9.1,7,55,46.5,34,26,21.0,16,30.4,30.2,30.0,0.00,2025-2-21
40,31.9,22,20,10.9,7,54,42.8,29,16,11.1,3,30.4,30.3,30.1,0.00,2025-2-22
47,41.0,35,21,16.1,13,47,36.9,30,16,10.4,3,30.1,30.1,30.0,0.00,2025-2-23
49,42.1,34,27,22.5,18,61,46.8,29,18,10.2,0,30.1,30.0,29.9,0.00,2025-2-24
56,49.3,43,32,26.9,21,54,42.4,32,16,8.1,0,29.9,29.8,29.7,0.00,2025-2-25
57,49.5,44,32,28.0,25,60,44.8,30,18,10.9,0,30.0,29.9,29.7,0.00,2025-2-26
55,47.6,40,41,34.8,28,79,62.0,50,15,9.8,0,30.0,29.7,29.6,0.00,2025-2-27
50,45.1,43,29,24.4,11,53,45.5,21,23,15.7,12,29.7,29.6,29.6,0.00,2025-2-28
