Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
43,38.7,34,37,34.2,32,93,83.2,70,8,6.2,2,30.1,30.0,30.0,0.00,2025-1-1
41,38.5,36,39,36.5,32,100,92.6,75,12,5.9,0,30.1,30.1,30.0,0.00,2025-1-2
43,38.8,36,43,38.8,36,100,100.0,100,9,5.1,0,30.0,29.8,29.7,0.00,2025-1-3
45,44.0,41,45,43.8,41,100,99.3,93,15,9.8,3,30.0,29.9,29.9,0.00,2025-1-4
46,41.4,34,46,41.3,34,100,99.4,93,9,4.5,0,30.4,30.3,30.0,0.00,2025-1-5
43,37.5,32,43,37.5,32,100,100.0,100,13,4.8,0,30.6,30.5,30.4,0.00,2025-1-6
41,38.2,36,41,37.7,36,100,98.3,87,13,4.4,0,30.6,30.5,30.4,0.00,2025-1-7
45,40.5,32,45,40.5,32,100,100.0,100,9,4.3,0,30.6,30.5,30.4,0.00,2025-1-8
45,39.7,34,43,39.1,34,100,97.9,87,12,5.1,0,30.6,30.4,30.1,0.00,2025-1-9
46,45.1,43,45,43.7,41,100,94.4,81,30,16.2,2,30.3,30.2,30.1,0.00,2025-1-10
45,39.8,36,43,38.8,36,100,96.7,87,8,3.3,0,30.5,30.5,30.4,0.00,2025-1-11
43,39.7,34,41,39.6,34,100,99.6,93,8,3.1,0,30.5,30.5,30.5,0.00,2025-1-12
41,36.6,30,39,36.2,30,100,98.8,87,6,3.0,0,30.6,30.6,30.6,0.00,2025-1-13
43,38.4,34,41,36.9,34,100,95.3,81,7,3.6,0,30.6,30.5,30.5,0.00,2025-1-14
45,36.8,30,41,36.2,30,100,98.0,87,12,4.0,0,30.5,30.3,30.2,0.00,2025-1-15
45,39.8,36,43,38.4,34,100,95.4,76,28,10.9,2,30.3,30.2,30.1,0.00,2025-1-16
43,36.1,30,37,33.8,30,100,91.7,70,12,4.5,0,30.5,30.4,30.3,0.00,2025-1-17
41,34.6,27,37,31.3,27,100,87.7,65,8,4.4,0,30.6,30.5,30.4,0.00,2025-1-18
43,33.9,27,36,30.3,27,100,87.5,61,13,4.5,0,30.6,30.5,30.4,0.00,2025-1-19
37,32.7,25,30,27.6,23,93,82.0,70,5,2.5,0,30.6,30.5,30.4,0.00,2025-1-20
41,34.2,27,34,29.6,23,100,83.8,70,9,5.4,0,30.7,30.5,30.4,0.00,2025-1-21
39,35.3,30,36,31.0,27,100,84.9,70,7,4.0,0,30.8,30.7,30.7,0.00,2025-1-22
39,34.1,28,39,31.9,27,100,91.6,81,8,4.0,0,30.7,30.5,30.4,0.00,2025-1-23
43,33.7,25,37,30.9,25,100,89.9,65,14,5.7,0,30.5,30.4,30.4,0.00,2025-1-24
43,33.6,25,36,27.5,19,100,79.4,61,12,5.6,0,30.5,30.4,30.4,0.00,2025-1-25
41,33.7,27,37,29.5,23,100,85.3,61,8,3.4,0,30.5,30.4,30.4,0.00,2025-1-26
43,33.6,27,37,31.4,27,100,92.0,70,9,3.6,0,30.4,30.4,30.3,0.00,2025-1-27
43,33.9,27,39,32.9,27,100,96.7,81,8,3.5,0,30.3,30.2,30.1,0.00,2025-1-28
43,34.0,27,39,33.3,27,100,97.4,81,9,3.3,0,30.1,30.1,30.1,0.00,2025-1-29
39,38.4,37,39,37.6,36,100,96.8,93,13,10.3,6,30.1,30.0,29.9,0.00,2025-1-30
45,40.7,36,45,39.9,30,100,97.2,75,31,14.9,9,29.9,29.6,29.5,0.00,2025-1-31
41,36.1,30,36,31.4,28,93,83.7,70,18,11.3,5,29.9,29.8,29.8,0.00,2025-2-1
39,32.7,28,34,31.5,28,100,96.0,70,16,10.3,2,29.8,29.8,29.7,0.00,2025-2-2
30,26.6,25,28,24.3,21,100,91.8,80,20,7.1,0,29.9,29.8,29.8,0.00,2025-2-3
30,25.1,21,25,21.3,12,100,87.0,64,9,6.5,2,29.9,29.8,29.8,0.00,2025-2-4
30,24.5,18,25,16.7,9,93,72.8,63,10,7.0,0,30.0,29.9,29.8,0.00,2025-2-5
34,28.1,23,27,23.4,19,93,83.0,60,14,6.8,0,30.1,30.0,30.0,0.00,2025-2-6
34,26.9,18,25,19.1,12,86,73.2,56,10,6.6,0,30.3,30.1,30.0,0.00,2025-2-7
37,32.3,28,34,28.5,25,100,85.8,70,10,5.5,0,30.5,30.4,30.3,0.00,2025-2-8
36,31.9,28,32,28.4,25,100,87.8,75,10,4.5,0,30.5,30.5,30.5,0.00,2025-2-9
36,29.0,23,25,18.4,9,100,67.7,38,12,5.7,0,30.5,30.5,30.5,0.00,2025-2-10
32,26.1,18,23,17.0,12,80,68.8,55,10,5.1,0,30.5,30.3,30.2,0.00,2025-2-11
