Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
51,47.1,41,45,30.6,18,90,54.8,40,30,13.6,0,30.0,29.8,29.5,0.39,2025-1-1
45,39.9,38,19,16.8,12,47,39.5,34,18,11.5,3,30.2,30.1,30.0,0.00,2025-1-2
45,36.4,31,31,23.9,14,81,61.9,46,30,12.7,0,30.1,29.9,29.8,0.00,2025-1-3
34,30.3,26,14,9.2,6,51,41.5,32,24,15.9,8,30.2,30.1,30.0,0.04,2025-1-4
37,31.5,24,17,6.6,2,51,36.6,24,14,7.0,0,30.2,30.2,30.1,0.00,2025-1-5
32,28.9,28,25,23.8,20,86,81.5,61,16,9.5,0,30.1,29.9,29.7,0.49,2025-1-6
35,28.8,22,20,15.2,12,72,57.5,48,26,16.2,8,30.2,30.1,29.9,0.00,2025-1-7
34,29.0,25,14,11.5,6,60,48.5,40,20,13.4,8,30.2,30.1,30.0,0.00,2025-1-8
34,28.5,23,8,6.8,5,50,40.6,32,29,15.6,8,30.1,30.1,30.0,0.00,2025-1-9
35,30.3,25,22,9.6,4,72,42.7,35,17,8.7,0,30.1,30.0,29.8,0.00,2025-1-10
39,32.2,29,26,21.9,16,89,67.8,42,18,9.1,0,30.0,29.7,29.6,0.07,2025-1-11
42,34.9,28,25,20.6,18,72,57.2,40,9,5.2,0,30.1,30.1,30.0,0.00,2025-1-12
50,38.4,29,26,22.2,19,69,53.7,37,13,5.8,0,30.1,30.0,29.9,0.00,2025-1-13
38,32.8,28,18,9.4,4,50,38.0,29,25,13.3,0,30.2,30.1,30.0,0.00,2025-1-14
33,27.5,23,10,8.0,5,51,44.0,38,17,12.3,6,30.4,30.3,30.3,0.00,2025-1-15
37,30.0,21,28,17.8,7,82,61.1,48,14,7.3,0,30.3,30.0,29.8,0.00,2025-1-16
46,37.9,31,25,23.5,21,76,57.6,39,13,6.3,0,30.2,30.1,29.9,0.01,2025-1-17
45,38.4,35,34,30.5,26,86,73.5,63,12,6.1,0,30.1,29.9,29.7,0.00,2025-1-18
41,35.9,28,34,30.3,16,89,80.4,61,23,10.6,0,30.0,29.8,29.6,0.02,2025-1-19
29,24.5,17,15,7.1,-2,63,48.3,37,21,12.0,3,30.6,30.4,30.0,0.23,2025-1-20
22,19.6,16,3,-0.8,-3,47,41.1,35,13,6.8,0,30.6,30.6,30.5,0.00,2025-1-21
24,19.5,15,4,-1.6,-9,54,40.8,24,15,7.3,0,30.6,30.5,30.4,0.00,2025-1-22
31,23.3,15,17,9.9,5,70,57.5,42,10,5.0,0,30.4,30.3,30.2,0.00,2025-1-23
39,30.1,21,21,15.5,14,74,56.7,36,12,5.4,0,30.3,30.2,30.2,0.00,2025-1-24
41,32.1,23,19,15.8,12,78,53.0,33,15,6.6,0,30.4,30.3,30.2,0.00,2025-1-25
50,38.8,32,26,19.2,14,75,47.2,28,8,4.3,0,30.2,30.2,30.1,0.00,2025-1-26
51,37.8,27,27,21.6,13,81,55.5,29,12,6.0,0,30.1,30.0,29.7,0.00,2025-1-27
54,42.1,33,27,22.2,17,73,47.3,29,21,8.2,0,29.8,29.7,29.6,0.00,2025-1-28
62,50.0,40,25,22.5,19,55,35.3,21,23,11.8,7,30.0,29.7,29.6,0.00,2025-1-29
54,45.4,35,30,24.1,19,67,44.3,25,13,6.3,0,30.3,30.2,30.0,0.00,2025-1-30
53,47.2,42,50,43.1,35,93,85.6,74,20,10.0,0,30.1,29.9,29.7,0.05,2025-1-31
53,46.4,32,49,31.4,10,93,60.4,26,23,11.9,5,30.5,30.0,29.6,0.72,2025-2-1
40,34.2,27,30,18.4,8,76,53.3,41,10,6.7,0,30.5,30.4,30.2,0.00,2025-2-2
52,42.5,33,38,33.1,27,82,70.1,54,9,3.8,0,30.2,30.1,29.8,0.00,2025-2-3
63,50.5,40,44,32.5,16,82,52.9,31,24,12.3,3,30.3,30.0,29.8,0.00,2025-2-4
41,38.2,34,28,19.1,15,79,47.3,35,14,6.3,0,30.4,30.4,30.3,0.00,2025-2-5
47,38.2,34,41,33.9,29,93,84.7,77,15,6.7,0,30.3,30.0,29.8,0.68,2025-2-6
54,46.0,38,38,24.3,18,89,46.9,24,21,11.2,3,30.3,30.0,29.8,0.22,2025-2-7
38,35.8,33,32,23.8,18,89,63.7,44,10,6.8,0,30.3,30.2,29.8,0.00,2025-2-8
48,40.4,35,34,28.4,23,92,65.2,42,21,10.7,0,30.3,30.1,29.8,0.05,2025-2-9
47,40.0,36,23,19.6,16,57,44.8,32,15,8.9,3,30.4,30.4,30.3,0.00,2025-2-10
39,33.3,31,28,24.4,16,89,71.8,45,10,5.6,0,30.4,30.3,30.2,0.00,2025-2-11
37,34.9,32,34,30.7,27,93,85.0,78,12,7.1,3,30.2,30.2,30.1,0.62,2025-2-12
56,40.3,37,42,33.5,19,93,79.0,45,23,7.0,0,30.4,30.0,29.8,0.31,2025-2-13
44,38.0,33,20,11.3,5,48,34.3,23,17,9.5,3,30.7,30.6,30.4,0.00,2025-2-14
41,38.4,36,36,29.4,14,89,71.9,41,18,7.1,0,30.5,30.2,29.9,0.00,2025-2-15
